id;tipo;estado;tiempoInactivo;criticidad;incidenciasActivas;nivelDegradacion
EQ-001;Computador;40.2;9;9;0;1.9
EQ-002;Computador;58.6;4;5;0;0.6
EQ-003;Servidor;51.5;9;5;0;1.6
EQ-004;Computador;77.4;8;10;0;1.8
EQ-005;Computador;33.1;8;8;0;1.9
EQ-006;Computador;51.5;0;1;0;2.4
EQ-007;Servidor;64.1;6;3;0;1.2
EQ-008;Servidor;51.1;9;2;0;2.1
EQ-009;Computador;97.3;2;6;0;2.1
EQ-010;Computador;74.7;10;5;0;1.1
EQ-011;Computador;35.9;8;7;0;1.8
EQ-012;Computador;93.7;6;9;0;1.4
EQ-013;Computador;52.1;3;3;0;1.9
EQ-014;Servidor;62.4;4;8;0;1.5
EQ-015;Computador;66.3;6;4;0;1.8
EQ-016;Servidor;73.6;5;6;0;2.0
EQ-017;Computador;42.1;4;3;0;2.2
EQ-018;Computador;30.9;8;6;0;1.6
EQ-019;Computador;78.5;9;3;0;2.4
EQ-020;Servidor;48.7;7;3;0;2.1
EQ-021;Servidor;83.2;5;5;0;2.0
EQ-022;Computador;50.3;0;3;0;2.2
EQ-023;Computador;91.7;1;8;0;1.6
EQ-024;Computador;87.0;7;6;0;2.4
EQ-025;Computador;87.9;10;8;0;2.1
EQ-026;Servidor;60.2;1;3;0;2.5
EQ-027;Servidor;31.0;3;1;0;2.4
EQ-028;Servidor;69.0;3;7;0;1.7
EQ-029;Computador;84.8;1;1;0;0.9
EQ-030;Computador;71.1;7;9;0;2.1
EQ-031;Servidor;52.7;1;3;0;2.0
EQ-032;Computador;95.2;6;7;0;2.3
EQ-033;Computador;46.4;8;2;0;2.1
EQ-034;Computador;75.4;0;2;0;1.5
EQ-035;Servidor;84.4;8;7;0;1.8
EQ-036;Computador;87.1;2;8;0;2.5
EQ-037;Computador;35.3;4;7;0;1.1
EQ-038;Computador;99.2;10;8;0;2.3
EQ-039;Servidor;62.2;5;5;0;1.2
EQ-040;Servidor;67.2;6;3;0;0.8
EQ-041;Computador;81.7;10;1;0;1.4
EQ-042;Servidor;85.2;0;10;0;1.3
EQ-043;Servidor;68.1;1;2;0;1.3
EQ-044;Servidor;47.7;3;10;0;1.6
EQ-045;Servidor;44.3;5;4;0;2.2
EQ-046;Servidor;99.0;9;6;0;1.3
EQ-047;Computador;44.8;9;7;0;0.6
EQ-048;Computador;99.2;8;8;0;0.6
EQ-049;Servidor;71.0;8;9;0;1.3
EQ-050;Servidor;96.2;7;9;0;0.8
EQ-051;Computador;99.3;2;5;0;1.8
EQ-052;Computador;73.7;10;1;0;2.2
EQ-053;Computador;87.3;2;8;0;1.5
EQ-054;Servidor;77.7;3;5;0;1.6
EQ-055;Servidor;37.2;2;7;0;1.4
EQ-056;Computador;73.5;10;2;0;1.2
EQ-057;Servidor;92.2;9;10;0;1.3
EQ-058;Servidor;79.2;6;4;0;1.6
EQ-059;Computador;46.5;9;1;0;1.0
EQ-060;Servidor;63.3;1;9;0;0.9
EQ-061;Computador;94.0;1;9;0;1.6
EQ-062;Servidor;52.2;9;1;0;1.4
EQ-063;Computador;97.2;10;5;0;1.5
EQ-064;Servidor;98.3;2;10;0;1.8
EQ-065;Servidor;70.7;8;4;0;1.6
EQ-066;Servidor;89.6;8;2;0;2.2
EQ-067;Servidor;34.4;9;7;0;2.1
EQ-068;Computador;77.7;7;8;0;1.6
EQ-069;Computador;31.0;9;7;0;1.8
EQ-070;Servidor;49.4;5;2;0;0.8
EQ-071;Computador;53.5;6;2;0;2.1
EQ-072;Computador;30.5;5;7;0;1.6
EQ-073;Servidor;64.3;9;2;0;1.5
EQ-074;Computador;50.7;8;3;0;1.8
EQ-075;Servidor;79.4;2;4;0;1.5
EQ-076;Servidor;92.9;0;6;0;2.0
EQ-077;Servidor;53.3;2;4;0;1.2
EQ-078;Servidor;32.4;9;4;0;2.3
EQ-079;Computador;47.0;9;7;0;1.2
EQ-080;Servidor;62.5;0;7;0;0.7
EQ-081;Computador;61.6;7;4;0;2.2
EQ-082;Servidor;34.9;8;7;0;1.9
EQ-083;Computador;68.8;6;8;0;2.4
EQ-084;Computador;87.4;9;4;0;1.1
EQ-085;Computador;59.4;6;1;0;1.3
EQ-086;Servidor;42.1;9;4;0;1.8
EQ-087;Computador;73.8;6;3;0;1.3
EQ-088;Computador;51.1;10;2;0;1.2
EQ-089;Computador;90.4;1;8;0;1.8
EQ-090;Servidor;75.6;1;8;0;1.7
EQ-091;Computador;35.3;3;2;0;1.9
EQ-092;Computador;64.0;3;9;0;2.2
EQ-093;Computador;36.0;6;9;0;2.2
EQ-094;Computador;50.9;10;2;0;2.0
EQ-095;Servidor;81.6;4;7;0;1.4
EQ-096;Computador;49.0;2;7;0;1.8
EQ-097;Servidor;38.4;5;9;0;1.7
EQ-098;Servidor;92.1;4;10;0;1.0
EQ-099;Computador;39.0;0;6;0;1.4
EQ-100;Servidor;58.0;9;6;0;0.7
