idEquipo;severidad;diaRegistro
EQ-099;0;13
EQ-050;2;21
EQ-036;1;10
EQ-015;1;12
EQ-053;0;6
EQ-055;2;27
EQ-059;2;12
EQ-003;2;28
EQ-062;0;26
EQ-027;2;26
EQ-011;0;1
EQ-045;1;23
EQ-031;1;6
EQ-093;0;10
EQ-071;2;9
EQ-011;0;17
EQ-009;0;13
EQ-024;0;18
EQ-061;1;24
EQ-044;1;26
EQ-079;1;28
EQ-084;1;22
EQ-037;0;10
EQ-084;0;24
EQ-088;2;29
EQ-050;1;8
EQ-025;1;25
EQ-091;2;7
EQ-055;2;19
EQ-045;2;10
EQ-069;2;17
EQ-023;0;2
EQ-079;0;21
EQ-041;2;3
EQ-099;2;5
EQ-091;2;1
EQ-051;1;16
EQ-002;1;25
EQ-082;1;21
EQ-100;2;14
EQ-047;1;2
EQ-035;0;21
EQ-045;0;20
EQ-029;2;10
EQ-042;0;2
EQ-074;2;19
EQ-039;0;17
EQ-047;2;29
EQ-018;2;7
EQ-100;0;27
EQ-077;2;12
EQ-081;1;12
EQ-090;2;4
EQ-097;0;28
EQ-081;0;6
EQ-036;1;21
EQ-065;1;19
EQ-020;2;15
EQ-053;2;21
EQ-049;2;16
EQ-056;0;17
EQ-082;0;28
EQ-078;2;8
EQ-053;0;18
EQ-010;1;21
EQ-050;1;25
EQ-081;0;12
EQ-024;1;13
EQ-099;2;22
EQ-064;0;2
EQ-044;0;17
EQ-095;2;21
EQ-043;1;24
EQ-077;1;3
EQ-015;2;14
EQ-045;2;18
EQ-042;1;26
EQ-090;2;29
EQ-011;2;19
EQ-065;1;22
EQ-033;1;22
EQ-094;0;6
EQ-098;2;26
EQ-060;0;27
EQ-033;1;9
EQ-051;2;26
EQ-041;0;17
EQ-079;1;11
EQ-033;1;14
EQ-091;1;14
EQ-012;1;4
EQ-074;2;13
EQ-011;0;27
EQ-039;1;23
EQ-069;0;24
EQ-009;2;30
EQ-079;1;24
EQ-020;0;27
EQ-039;0;3
EQ-074;2;11
EQ-039;1;20
EQ-070;0;6
EQ-093;0;19
EQ-053;1;14
EQ-080;2;7
EQ-060;2;26
EQ-058;2;16
EQ-024;1;19
EQ-025;2;17
EQ-020;1;29
EQ-018;2;8
EQ-058;1;15
EQ-042;1;11
EQ-066;0;12
EQ-025;1;7
EQ-027;0;16
EQ-057;0;17
EQ-001;1;25
EQ-009;0;24
EQ-030;0;5
EQ-017;1;19
EQ-096;2;23
EQ-004;2;28
EQ-007;2;21
EQ-054;1;30
EQ-013;1;13
EQ-073;0;11
EQ-020;1;7
EQ-006;0;9
EQ-065;0;24
EQ-042;1;29
EQ-089;1;5
EQ-047;2;6
EQ-018;0;16
EQ-013;0;13
EQ-017;1;3
EQ-088;1;17
EQ-042;0;18
EQ-045;2;20
EQ-086;1;25
EQ-040;2;22
EQ-052;2;13
EQ-063;0;27
EQ-058;2;10
EQ-007;2;18
EQ-020;0;23
EQ-083;2;23
EQ-028;0;17
EQ-052;2;17
EQ-093;0;23
EQ-032;2;6
EQ-086;2;15
EQ-083;1;21
EQ-049;2;26
EQ-042;1;15
EQ-009;1;25
EQ-095;1;28
EQ-014;1;29
EQ-093;0;22
EQ-067;1;2
EQ-062;1;7
EQ-001;0;21
EQ-100;1;26
EQ-046;0;29
EQ-041;1;10
EQ-039;1;6
EQ-042;1;22
EQ-049;0;23
EQ-097;0;8
EQ-082;1;20
EQ-099;0;16
EQ-016;0;30
EQ-024;0;11
EQ-069;0;15
EQ-080;2;14
EQ-077;0;27
EQ-018;1;5
EQ-068;2;7
EQ-004;0;12
EQ-006;1;28
EQ-089;2;7
EQ-066;0;10
EQ-075;0;18
EQ-082;2;10
EQ-026;0;12
EQ-061;2;1
EQ-044;0;28
EQ-032;0;10
EQ-041;0;29
EQ-087;1;24
EQ-081;1;21
EQ-025;0;11
EQ-062;2;25
EQ-052;0;27
EQ-063;0;2
EQ-002;1;29
EQ-088;2;10
EQ-079;1;16
EQ-008;2;27
EQ-082;0;6
EQ-034;1;8
EQ-001;0;11
EQ-002;0;24
EQ-032;0;30
EQ-041;1;26
EQ-095;2;9
EQ-060;2;9
EQ-094;2;26
EQ-049;0;21
EQ-023;1;14
EQ-001;1;7
EQ-098;1;11
EQ-062;0;4
EQ-089;0;19
EQ-001;0;29
EQ-066;0;16
EQ-065;0;13
EQ-092;2;2
EQ-013;1;9
EQ-011;0;3
EQ-084;2;10
EQ-060;2;10
EQ-067;2;9
EQ-100;1;20
EQ-016;2;1
EQ-074;1;2
EQ-092;0;5
EQ-003;0;10
EQ-018;0;9
EQ-072;2;17
EQ-038;0;10
EQ-019;1;25
EQ-009;0;23
EQ-080;0;9
EQ-053;0;10
EQ-033;0;3
EQ-036;2;6
EQ-092;1;29
EQ-014;1;11
EQ-053;1;6
EQ-029;1;25
EQ-086;0;16
EQ-031;1;8
EQ-053;2;29
EQ-027;1;8
EQ-047;1;27
EQ-004;0;10
EQ-077;1;12
EQ-079;1;1
EQ-003;1;26
EQ-011;1;21
EQ-085;0;6
EQ-067;1;13
EQ-066;1;2
EQ-006;0;13
EQ-011;2;28
EQ-080;1;7
EQ-094;1;22
EQ-009;2;1
EQ-028;0;24
EQ-060;0;13
EQ-018;2;11
EQ-096;2;5
EQ-013;1;25
EQ-054;2;17
EQ-029;0;12
EQ-061;2;17
EQ-038;0;14
EQ-083;0;8
EQ-059;2;29
EQ-054;2;11
EQ-024;2;16
EQ-065;2;16
EQ-064;0;23
EQ-077;1;13
EQ-063;1;8
EQ-053;0;23
EQ-054;2;24
EQ-090;2;2
EQ-070;0;11
EQ-027;2;17
EQ-097;0;2
EQ-071;1;27
EQ-069;0;11
EQ-060;0;30
EQ-001;0;8
EQ-014;2;27
EQ-078;1;10
EQ-038;1;1
EQ-035;0;19
EQ-099;1;11
EQ-053;0;8
EQ-061;2;23
EQ-042;1;13
EQ-089;0;24
EQ-081;2;30
EQ-065;0;19
EQ-005;2;13
EQ-035;1;21
EQ-046;0;5
